,0,1,2,3,4
CNN-obs,0.7621,0.3356,0.7662,0.3366,0.3363
RNN-obs,0.2567,0.2441,0.2532,0.2501,0.2492
GRU-obs,0.2404,0.242,0.2339,0.2395,0.2403
DNN-obs,0.3563,0.3481,0.3492,0.3383,0.3536
LSTM-obs,0.2661,0.2436,0.2525,0.2499,0.2374
