,0,1,2,3,4
CNN-obs,-0.2101,0.0187,-0.225,0.0113,0.0141
RNN-obs,-0.1714,-0.0188,-0.0931,-0.0031,-0.0041
GRU-obs,0.0248,-0.0132,0.0965,-0.0613,-0.0045
DNN-obs,-0.0377,-0.025,-0.0283,-0.0073,-0.0259
LSTM-obs,-0.6323,-0.3153,-0.7226,-0.4689,-0.1957
