,0,1,2,3,4
CNN-obs,-0.1252,0.4025,-0.1383,0.3985,0.4
RNN-obs,0.4729,0.534,0.4923,0.522,0.528
GRU-obs,0.5539,0.543,0.5779,0.5376,0.5458
DNN-obs,0.3692,0.375,0.3704,0.39,0.3704
LSTM-obs,0.3984,0.5076,0.4301,0.4674,0.5472
