,0,1,2,3,4
CNN-ew3,-0.1097,-0.1443,-0.1363,-0.1552,-0.0448
RNN-ew3,0.2144,0.1221,0.1923,-0.0608,-0.1324
GRU-ew3,-0.0257,0.0167,0.1105,0.1728,-0.0112
DNN-ew3,-0.0739,-0.3136,0.1125,0.1788,0.1337
LSTM-ew3,-0.1078,-0.0908,0.0519,0.001,0.0338
