,0,1,2
CNN-ew3,0.8052,0.8052,0.3352
RNN-ew3,0.2549,0.3187,0.2469
GRU-ew3,0.2434,0.2763,0.2593
DNN-ew3,0.3461,0.343,0.5733
LSTM-ew3,0.2427,0.2992,0.255
