,0,1,2
CNN-ew3,-0.3641,-0.3641,-0.0507
RNN-ew3,0.0888,-0.2352,0.0152
GRU-ew3,0.212,-0.0072,0.0778
DNN-ew3,-0.0763,-0.0682,-0.4601
LSTM-ew3,0.0735,-0.4159,-0.0333
