,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.00626,-0.0358,-0.02774,-0.01397,0.0059
Exp2,0.00131,-0.03197,-0.02788,-0.01312,0.00903
Exp3,0.00113,-0.04214,-0.02826,-0.01636,0.00248
Exp4,0.00343,-0.03332,-0.02739,-0.01319,0.00726
Exp5,0.00855,-0.02602,-0.02338,-0.01018,0.00754
Exp6,0.00464,-0.03337,-0.02609,-0.01347,0.00618
Exp7,0.00815,-0.02603,-0.02387,-0.01091,0.00875
Exp8,0.00738,-0.04041,-0.02706,-0.01599,0.00265
Exp9,0.0052,-0.0375,-0.02662,-0.01452,0.00364
Exp10,0.00563,-0.04287,-0.02861,-0.01695,0.00269
