,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12484.55344,16550.44778,16525.88474,16479.33876,16646.11983
Exp2,12355.42366,16402.43018,16427.04537,16444.55093,16335.69423
Exp3,3886.95174,5274.34166,9491.3317,2887.06399,3444.6293
Exp4,12352.56576,16399.02481,16170.73728,16593.84378,16432.49337
Exp5,12334.67555,16378.58197,16204.43145,16419.6138,16511.70065
Exp6,12427.50423,16485.04488,16568.99866,16545.10366,16341.03231
Exp7,12504.90974,16573.78064,16589.613,16502.55759,16629.17135
Exp8,16724.11663,22418.2668,8885.30791,3999.66523,54369.82726
Exp9,10155.58466,13641.86933,13200.98089,25563.36722,2161.25988
Exp10,12434.74334,16493.32928,16370.4625,16483.55801,16625.96733
