Datetime,OR
2021-12-28 21:00:00,0.2171157333333333
2021-12-28 22:00:00,0.2227521
2021-12-28 23:00:00,0.2547771166666666
2021-12-29 00:00:00,0.4428677833333333
2021-12-29 01:00:00,0.77140425
2021-12-29 02:00:00,0.8129813
2021-12-29 03:00:00,0.9239862166666666
2021-12-29 04:00:00,0.77207555
2021-12-29 05:00:00,0.3972307
2021-12-29 06:00:00,0.25933795
2021-12-29 07:00:00,0.22961925
2021-12-29 08:00:00,0.2157721333333333
2021-12-29 09:00:00,0.2124657
2021-12-29 10:00:00,0.2330108
2021-12-29 11:00:00,0.3245311666666666
2021-12-29 12:00:00,0.4484939
2021-12-29 13:00:00,0.5053122166666667
2021-12-29 14:00:00,0.6286353333333333
2021-12-29 15:00:00,0.6933436833333334
2021-12-29 16:00:00,0.5436943666666667
2021-12-29 17:00:00,0.4340780999999999
2021-12-29 18:00:00,0.6095409
2021-12-29 19:00:00,0.5852967
2021-12-29 20:00:00,0.4429617166666666
2021-12-29 21:00:00,0.294218
2021-12-29 22:00:00,0.2395889166666666
2021-12-29 23:00:00,0.2178523833333333
2021-12-30 00:00:00,0.0
2021-12-30 01:00:00,0.0
2021-12-30 02:00:00,0.0
2021-12-30 03:00:00,0.0
2021-12-30 04:00:00,0.0
2021-12-30 05:00:00,0.0
2021-12-30 06:00:00,0.0
2021-12-30 07:00:00,0.0
2021-12-30 08:00:00,0.0
2021-12-30 09:00:00,0.0
2021-12-30 10:00:00,0.0
2021-12-30 11:00:00,0.0
2021-12-30 12:00:00,0.0
2021-12-30 13:00:00,0.0
2021-12-30 14:00:00,0.0
2021-12-30 15:00:00,0.0
2021-12-30 16:00:00,0.0
2021-12-30 17:00:00,0.0
2021-12-30 18:00:00,0.0
2021-12-30 19:00:00,0.0
2021-12-30 20:00:00,0.0
2021-12-30 21:00:00,0.0
2021-12-30 22:00:00,0.0
2021-12-30 23:00:00,0.0
2021-12-31 00:00:00,0.2229296333333333
2021-12-31 01:00:00,0.2226193833333333
2021-12-31 02:00:00,0.2246647666666666
2021-12-31 03:00:00,0.2282676
2021-12-31 04:00:00,0.2321399666666666
2021-12-31 05:00:00,0.2361025
2021-12-31 06:00:00,0.2359425666666666
2021-12-31 07:00:00,0.2388098166666666
2021-12-31 08:00:00,0.2402857
2021-12-31 09:00:00,0.2433990166666667
2021-12-31 10:00:00,0.3166574666666666
2021-12-31 11:00:00,0.9801147
2021-12-31 12:00:00,1.8776456666666663
2021-12-31 13:00:00,2.4210871666666667
2021-12-31 14:00:00,2.5580125
2021-12-31 15:00:00,2.123272666666667
2021-12-31 16:00:00,1.4464405
2021-12-31 17:00:00,0.8361762666666667
2021-12-31 18:00:00,0.5226372833333334
2021-12-31 19:00:00,0.4408644166666667
2021-12-31 20:00:00,0.4258038833333333
2021-12-31 21:00:00,0.4173137
2021-12-31 22:00:00,0.38757985
2021-12-31 23:00:00,0.3738700166666666
2022-01-01 00:00:00,0.3672211
2022-01-01 01:00:00,0.3645519
2022-01-01 02:00:00,0.3643634333333334
2022-01-01 03:00:00,0.3661705666666667
2022-01-01 04:00:00,0.3659112166666666
2022-01-01 05:00:00,0.4367007499999999
2022-01-01 06:00:00,0.4268882166666666
2022-01-01 07:00:00,0.4072386833333333
2022-01-01 08:00:00,0.4009468333333333
2022-01-01 09:00:00,0.3994645
2022-01-01 10:00:00,0.3942580666666667
2022-01-01 11:00:00,0.4268992666666667
2022-01-01 12:00:00,0.5256014333333333
2022-01-01 13:00:00,0.5126545
2022-01-01 14:00:00,0.6862921666666666
2022-01-01 15:00:00,0.9014549
2022-01-01 16:00:00,0.8412277499999999
2022-01-01 17:00:00,0.6487442166666667
2022-01-01 18:00:00,0.5572745666666666
2022-01-01 19:00:00,0.4986565666666667
2022-01-01 20:00:00,0.467486
2022-01-01 21:00:00,0.4509942666666667
2022-01-01 22:00:00,0.45255695
2022-01-01 23:00:00,0.4489282
2022-01-02 00:00:00,0.4978171833333333
2022-01-02 01:00:00,0.6479085833333333
2022-01-02 02:00:00,1.0046325
2022-01-02 03:00:00,1.1915818333333337
2022-01-02 04:00:00,0.7898329833333333
2022-01-02 05:00:00,0.4813834666666666
2022-01-02 06:00:00,0.42555525
2022-01-02 07:00:00,0.3963900666666667
2022-01-02 08:00:00,0.3867958666666666
2022-01-02 09:00:00,0.3816200333333333
2022-01-02 10:00:00,0.3807445833333333
2022-01-02 11:00:00,0.4939358666666666
2022-01-02 12:00:00,0.8854601333333334
2022-01-02 13:00:00,1.156379
2022-01-02 14:00:00,1.2477896666666666
2022-01-02 15:00:00,1.3875238333333333
2022-01-02 16:00:00,1.684733
2022-01-02 17:00:00,1.6196075
2022-01-02 18:00:00,1.0716957
2022-01-02 19:00:00,0.9257689833333332
2022-01-02 20:00:00,1.499421
2022-01-02 21:00:00,2.4711711666666667
2022-01-02 22:00:00,2.0732931666666667
2022-01-02 23:00:00,1.13568285
2022-01-03 00:00:00,0.5867558166666667
2022-01-03 01:00:00,0.4538403166666667
2022-01-03 02:00:00,0.4152275166666667
2022-01-03 03:00:00,0.39567195
2022-01-03 04:00:00,0.44215865
2022-01-03 05:00:00,0.4131872666666666
2022-01-03 06:00:00,0.3889186833333333
