,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
tf-ews,0.5616,0.0,0.5616,0.5616,0.438,0.0,0.438,0.438,0.1035,0.0,0.1035,0.1035,2.3218,0.0,2.3218,2.3218
tf-obs,0.701,0.0,0.701,0.701,0.1242,0.0,0.1242,0.1242,0.0822,0.0,0.0822,0.0822,3.095,0.0,3.095,3.095
