,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12373.66105,16432.91056,16411.40663,16376.34355,16510.98149
Exp2,12470.25906,16537.32703,16413.06442,16719.99383,16478.92284
Exp3,12312.13834,16362.36244,16477.1509,16301.61147,16308.32495
Exp4,14579.71583,19411.23747,20030.99849,24284.33218,13918.38175
Exp5,27872.44907,37362.23677,46482.08597,63676.98729,1927.63703
Exp6,28689.05,39830.57519,45878.78863,49867.07687,23745.86007
Exp7,17951.86211,25284.67217,36309.48391,21233.79111,18310.74148
Exp8,12414.58646,16479.74872,16695.75524,16535.56901,16207.92191
Exp9,12382.30501,16442.77565,16705.06263,16386.42834,16236.83598
Exp10,10925.65592,14702.06632,21609.61102,8483.47605,14013.11189
