,0,1,2,3,4,5,6,7,8,9
CNN-obs,0.071,0.3415,0.1008,-0.0522,0.7565,-0.0009,0.5373,0.3892,-0.0886,-0.0582
RNN-obs,0.3644,0.3835,0.6011,0.3132,0.5372,0.4748,0.6062,0.2784,0.5669,0.5285
GRU-obs,0.3218,0.1514,0.4487,0.3017,0.265,0.3526,0.429,0.1812,0.3921,0.1057
DNN-obs,0.7127,0.4381,-0.0703,-0.0145,-0.2053,-0.2766,-0.2266,0.2357,0.4174,0.4141
LSTM-obs,0.1804,0.3739,0.3403,0.3206,0.2471,0.3188,0.3038,0.125,0.4163,0.286
