,0,1,2,3,4,5,6,7,8,9
CNN-obs,0.7437,0.7746,0.7848,0.8018,0.6088,0.8099,0.7309,0.7751,0.7828,0.7923
RNN-obs,0.7724,0.7498,0.6409,0.763,0.6677,0.669,0.6558,0.755,0.6527,0.6629
GRU-obs,0.7469,0.7724,0.7094,0.7486,0.7651,0.7355,0.7288,0.7693,0.7336,0.78
DNN-obs,0.632,0.7585,0.7801,0.8054,0.7458,0.8307,0.8284,0.7783,0.7622,0.7488
LSTM-obs,0.7734,0.7139,0.7358,0.7311,0.7518,0.7445,0.7344,0.7858,0.7038,0.738
