,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.23358,0.00157,0.23261,0.23456,0.23097,0.23594
TestRMSE,0.89884,0.00288,0.89706,0.90062,0.89375,0.90357
Step1,0.33943,0.00229,0.33801,0.34085,0.33539,0.3432
Step2,0.51385,0.00178,0.51275,0.51495,0.5112,0.51719
Step3,0.65472,0.00181,0.6536,0.65584,0.65149,0.65753
