,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-0.7744,-1.24325,-0.58553,-0.61636,-0.04137
Exp2,-1.32682,-1.88026,0.01559,-1.33559,-0.56026
Exp3,-3.54663,-3.95018,-1.26277,0.11587,-2.80328
Exp4,-1.83995,-2.25742,0.05856,-1.93848,-0.3775
Exp5,-3.88698,-4.40776,-0.89915,-1.65192,-1.85669
Exp6,-3.56651,-4.07576,-1.97214,0.39548,-2.4991
Exp7,-1.54903,-1.90294,-1.67165,-0.00257,-0.22872
Exp8,-2.88212,-3.52935,-0.76163,-2.13312,-0.63461
Exp9,-2.89413,-3.35286,-0.77136,-0.64814,-1.93336
Exp10,-2.2902,-2.9169,-0.97009,-0.87106,-1.07574
