,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.27298,0.00164,0.27196,0.274,0.27046,0.27622
TestRMSE,1.08884,0.00564,1.08535,1.09233,1.08023,1.09882
Step1,0.38339,0.00327,0.38137,0.38542,0.37923,0.39054
Step2,0.62332,0.00352,0.62114,0.6255,0.61878,0.63016
Step3,0.80625,0.00433,0.80357,0.80894,0.79848,0.81384
