,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,3.39638,2.70897,1.56825,0.73118,2.08434
Exp2,1.87906,1.72361,0.89312,0.7779,1.25222
Exp3,2.52271,2.17522,0.98544,1.67788,0.97221
Exp4,2.24873,1.92623,1.15418,1.17104,1.00344
Exp5,2.4397,2.10343,1.09446,1.09774,1.42182
Exp6,1.67711,1.60538,1.04278,0.83728,0.88816
Exp7,1.78694,1.68167,0.80217,1.0295,1.06051
Exp8,1.95039,1.63954,0.78412,0.86994,1.14737
Exp9,1.54142,1.26817,0.71961,0.68979,0.78397
Exp10,2.23849,1.89256,0.90706,0.98483,1.3376
