,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.16809,0.5128,1.85025,2.48593,1.54142,3.39638
TestRMSE,1.87248,0.37381,1.64079,2.10417,1.26817,2.70897
Step1,0.99512,0.23277,0.85084,1.13939,0.71961,1.56825
Step2,0.98671,0.27548,0.81596,1.15745,0.68979,1.67788
Step3,1.19516,0.35153,0.97728,1.41305,0.78397,2.08434
