,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
tf-ews,0.9335,0.0778,1.0323,0.8357,-0.5624,0.2572,-0.2436,-0.8976
tf-sg7,1.0146,0.0817,1.1122,0.8752,-0.8449,0.2889,-0.3638,-1.2027
tf-obs,0.8675,0.0379,0.9127,0.8149,-0.3428,0.1171,-0.1825,-0.4834
tf-or,0.9106,0.0149,0.9366,0.8948,-0.4771,0.0485,-0.4257,-0.5621
