,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
tf-ews,0.7112,0.0771,0.8172,0.6322,0.0878,0.199,0.2876,-0.1903,0.0951,0.0159,0.119,0.0804,25.0694,3.7092,31.0425,19.4814
tf-sg7,0.736,0.0412,0.7894,0.6748,0.0314,0.1073,0.1884,-0.1107,0.1038,0.0072,0.1125,0.0911,24.1493,4.084,31.5807,20.169
tf-obs,0.6426,0.0249,0.671,0.6067,0.2629,0.0566,0.344,0.1976,0.0875,0.0065,0.0938,0.0756,24.8028,2.5725,28.8092,21.3364
tf-or,0.6638,0.028,0.6954,0.6243,0.2133,0.066,0.3055,0.138,0.0892,0.0023,0.0916,0.0854,23.2302,3.6779,27.543,16.783
