,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
tf-ews,0.8549,0.0806,0.9497,0.7566,-0.3132,0.2462,-0.0196,-0.6065
tf-sg7,0.9204,0.0598,0.9944,0.8149,-0.5151,0.1919,-0.1827,-0.7613
tf-obs,0.7872,0.0354,0.8282,0.7453,-0.106,0.0993,0.0107,-0.2216
tf-or,0.8229,0.0059,0.8286,0.8139,-0.2063,0.0172,-0.1799,-0.2229
