,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.05808,0.07573,0.9917,1.12446,0.92767,1.14208
TestRMSE,1.21495,0.0993,1.12791,1.302,1.09557,1.31542
Step1,0.59625,0.0977,0.51062,0.68189,0.45695,0.75714
Step2,0.69566,0.0509,0.65105,0.74027,0.6321,0.77715
Step3,0.7931,0.07326,0.72888,0.85732,0.70591,0.9203
