,0,1,2,3,4
CNN-ew2,0.3397,0.3355,0.7794,0.3352,0.3579
RNN-ew2,0.2369,0.2368,0.2372,0.2457,0.2309
GRU-ew2,0.2243,0.2234,0.2204,0.2282,0.2362
DNN-ew2,0.3407,0.3455,0.3383,0.3454,0.3491
LSTM-ew2,0.2457,0.2453,0.2469,0.2466,0.2439
