,NH3_N(t-23),NH3_N(t-22),NH3_N(t-21),NH3_N(t-20),NH3_N(t-19),NH3_N(t-18),NH3_N(t-17),NH3_N(t-16),NH3_N(t-15),NH3_N(t-14),NH3_N(t-13),NH3_N(t-12),NH3_N(t-11),NH3_N(t-10),NH3_N(t-9),NH3_N(t-8),NH3_N(t-7),NH3_N(t-6),NH3_N(t-5),NH3_N(t-4),NH3_N(t-3),NH3_N(t-2),NH3_N(t-1),NH3_N(t),NH3_N(t+1),NH3_N(t+2),NH3_N(t+3)
0,0.1932633984126982,0.2015950535714285,0.207769094047619,0.2117855198412699,0.2143432023809525,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779
1,0.2015950535714285,0.207769094047619,0.2117855198412699,0.2143432023809525,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414
2,0.207769094047619,0.2117855198412699,0.2143432023809525,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366
3,0.2117855198412699,0.2143432023809525,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001
4,0.2143432023809525,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699
5,0.1915710698412699,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128
6,0.1179374547619047,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144
7,0.3819127365079368,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191
8,0.749035378571429,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731
9,0.9774672976190484,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255
