,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.7155,0.3626,0.1137,0.876,0.6269,0.2085,0.5228,0.0681
RNN-obs,0.5629,0.6152,0.0018,0.5649,0.5605,0.0025,0.6185,0.6125
GRU-obs,0.5591,0.6203,0.0067,0.5647,0.5497,0.009,0.633,0.6128
DNN-obs,0.6476,0.4906,0.0085,0.6592,0.639,0.0134,0.5041,0.4723
LSTM-obs,0.5324,0.6556,0.0038,0.537,0.5278,0.0049,0.6616,0.6497
CNN-sg5,0.6279,0.5213,0.0004,0.6284,0.6276,0.0005,0.5217,0.5205
RNN-sg5,0.5262,0.6637,0.0034,0.5305,0.5222,0.0043,0.6689,0.6583
GRU-sg5,0.519,0.6729,0.0069,0.5283,0.5117,0.0088,0.6821,0.6611
DNN-sg5,0.6502,0.4861,0.0196,0.6753,0.6274,0.0311,0.5219,0.4461
LSTM-sg5,0.4908,0.7074,0.0043,0.4969,0.4873,0.0052,0.7116,0.7001
CNN-sg7,0.6352,0.51,0.0056,0.6431,0.6312,0.0087,0.5162,0.4977
RNN-sg7,0.5127,0.6806,0.0112,0.5285,0.5041,0.014,0.6914,0.6608
GRU-sg7,0.5084,0.6861,0.0037,0.5126,0.5036,0.0045,0.692,0.681
DNN-sg7,0.64,0.5026,0.0066,0.6472,0.6313,0.0102,0.516,0.4914
LSTM-sg7,0.5012,0.6949,0.0013,0.503,0.5001,0.0015,0.6963,0.6928
CNN-sg9,0.7179,0.3592,0.1106,0.8743,0.6366,0.2033,0.5078,0.0717
RNN-sg9,0.5035,0.6921,0.0037,0.5069,0.4984,0.0044,0.6983,0.688
GRU-sg9,0.4869,0.7121,0.0032,0.4894,0.4824,0.0038,0.7174,0.7091
DNN-sg9,0.6475,0.4908,0.0018,0.6501,0.6459,0.0029,0.4934,0.4867
LSTM-sg9,0.4988,0.6979,0.0024,0.5014,0.4956,0.0029,0.7017,0.6947
CNN-ew2,0.7921,0.2216,0.1161,0.8742,0.628,0.2118,0.5211,0.0719
RNN-ew2,0.5265,0.6634,0.0033,0.5295,0.5219,0.0042,0.6692,0.6596
GRU-ew2,0.5169,0.6755,0.0047,0.5227,0.5111,0.006,0.6828,0.6682
DNN-ew2,0.648,0.4897,0.0144,0.6615,0.628,0.0226,0.5211,0.4685
LSTM-ew2,0.4935,0.7042,0.0018,0.4953,0.4911,0.0021,0.7071,0.7021
CNN-ew3,0.799,0.2103,0.1092,0.8762,0.6445,0.2017,0.4956,0.0677
RNN-ew3,0.5122,0.6814,0.0043,0.5182,0.5084,0.0054,0.6862,0.6739
GRU-ew3,0.5037,0.6919,0.0043,0.5078,0.4978,0.0052,0.6991,0.6868
DNN-ew3,0.6409,0.5012,0.008,0.6502,0.6307,0.0124,0.517,0.4866
LSTM-ew3,0.4824,0.7173,0.0037,0.4876,0.479,0.0043,0.7213,0.7113
CNN-ew4,0.7958,0.2148,0.1149,0.8786,0.6333,0.2108,0.5129,0.0625
RNN-ew4,0.5083,0.6862,0.0028,0.5106,0.5043,0.0035,0.6912,0.6834
GRU-ew4,0.5021,0.6938,0.0029,0.5056,0.4985,0.0035,0.6982,0.6896
DNN-ew4,0.6492,0.4882,0.0052,0.6537,0.6419,0.0082,0.4997,0.481
LSTM-ew4,0.4789,0.7215,0.0042,0.4832,0.4732,0.0049,0.7281,0.7165
CNN-or,0.7109,0.3693,0.1179,0.8777,0.6275,0.2155,0.5218,0.0645
RNN-or,0.5311,0.6574,0.0044,0.5372,0.5269,0.0056,0.6628,0.6496
GRU-or,0.5378,0.6488,0.0014,0.5396,0.5362,0.0018,0.6508,0.6464
DNN-or,0.6349,0.5103,0.0104,0.6497,0.6274,0.0161,0.522,0.4875
LSTM-or,0.5276,0.662,0.0033,0.5322,0.5248,0.0042,0.6655,0.656
