,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,24721.04253,21684.6804,11280.73837,38161.34668,9623.7335,68305.93939
TestMSE,33036.79255,29035.87511,15040.1707,51033.41439,12803.14025,91166.07099
Step1,35090.06391,39761.8233,10445.4305,59734.69733,9483.89674,135177.44924
Step2,20366.93635,14299.45318,11504.04344,29229.82925,1254.79011,53640.60257
Step3,43653.37738,41978.95361,17634.55237,69672.20239,9819.09804,142691.52847
