,0,1,2
CNN-sg5,0.7523,0.7538,0.7553
RNN-sg5,0.7906,0.7533,0.7333
GRU-sg5,0.7705,0.8463,0.7938
DNN-sg5,0.7752,0.7829,0.7519
LSTM-sg5,0.9138,1.142,0.8008
