,0,1,2
CNN-sg5,0.3931,0.3912,0.3901
RNN-sg5,0.5389,0.5722,0.5807
GRU-sg5,0.5895,0.5469,0.5713
DNN-sg5,0.3546,0.3451,0.3937
LSTM-sg5,0.5189,0.3737,0.555
