,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-sg5,0.5845,0.3915,0.0006,0.5852,0.5837,0.0012,0.3931,0.3901
RNN-sg5,0.4947,0.5639,0.0102,0.5088,0.4852,0.018,0.5807,0.5389
GRU-sg5,0.4917,0.5692,0.0099,0.5043,0.4801,0.0175,0.5895,0.5469
DNN-sg5,0.5972,0.3645,0.01,0.6064,0.5834,0.021,0.3937,0.3451
LSTM-sg5,0.5375,0.4825,0.0401,0.593,0.4998,0.0784,0.555,0.3737
