,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.8196,0.0114,0.8337,0.7995,-0.1963,0.0331,-0.1381,-0.2376
RNN-obs,0.8129,0.0268,0.8557,0.7744,-0.178,0.078,-0.0678,-0.304
GRU-obs,0.8204,0.0178,0.8535,0.8027,-0.1991,0.0526,-0.1473,-0.2971
DNN-obs,0.8095,0.028,0.8481,0.7627,-0.1681,0.0802,-0.0359,-0.2807
LSTM-obs,0.8153,0.02,0.8373,0.7864,-0.1844,0.0577,-0.1013,-0.2485
CNN-sg5,0.8243,0.017,0.8568,0.8111,-0.2104,0.0505,-0.1714,-0.3071
RNN-sg5,0.7755,0.022,0.807,0.7484,-0.0718,0.0607,0.0026,-0.1596
GRU-sg5,0.8062,0.0229,0.8364,0.7716,-0.1584,0.0653,-0.0602,-0.2456
DNN-sg5,0.7771,0.033,0.8311,0.7411,-0.0774,0.0925,0.0221,-0.2301
LSTM-sg5,0.7981,0.0082,0.8072,0.7876,-0.1343,0.0232,-0.1046,-0.1602
CNN-sg7,0.793,0.0185,0.8127,0.7681,-0.1203,0.0522,-0.0505,-0.1761
RNN-sg7,0.7772,0.0128,0.7936,0.7588,-0.0759,0.0354,-0.0254,-0.1216
GRU-sg7,0.8178,0.0063,0.8238,0.8073,-0.191,0.0185,-0.1605,-0.2086
DNN-sg7,0.7984,0.0247,0.819,0.7509,-0.1362,0.069,-0.0041,-0.1944
LSTM-sg7,0.8075,0.013,0.8285,0.7908,-0.1616,0.0375,-0.1137,-0.2222
CNN-sg9,0.8415,0.0161,0.8727,0.83,-0.2614,0.0489,-0.2267,-0.3563
RNN-sg9,0.7986,0.0368,0.8478,0.747,-0.138,0.1045,0.0063,-0.28
GRU-sg9,0.8137,0.0144,0.8349,0.7957,-0.1794,0.0419,-0.1274,-0.2413
DNN-sg9,0.8018,0.0169,0.82,0.7793,-0.1455,0.0482,-0.0814,-0.1975
LSTM-sg9,0.805,0.0085,0.8206,0.798,-0.1541,0.0246,-0.1341,-0.1992
CNN-ew2,0.8172,0.0303,0.8451,0.7584,-0.1907,0.0862,-0.0241,-0.2719
RNN-ew2,0.8038,0.0225,0.8322,0.7662,-0.1513,0.0641,-0.0454,-0.2334
GRU-ew2,0.8125,0.0236,0.8424,0.7768,-0.1766,0.0678,-0.0744,-0.2635
DNN-ew2,0.789,0.0206,0.8229,0.7655,-0.1091,0.0581,-0.0435,-0.2057
LSTM-ew2,0.8101,0.0105,0.8233,0.7971,-0.1689,0.0301,-0.1314,-0.207
CNN-ew3,0.8326,0.0089,0.8431,0.8183,-0.2346,0.0265,-0.1923,-0.2658
RNN-ew3,0.794,0.0327,0.8437,0.7642,-0.1246,0.0933,-0.04,-0.2674
GRU-ew3,0.8034,0.013,0.814,0.779,-0.1496,0.0369,-0.0807,-0.18
DNN-ew3,0.8162,0.0436,0.8956,0.7682,-0.1895,0.1297,-0.0508,-0.4282
LSTM-ew3,0.8229,0.0135,0.8393,0.8076,-0.2062,0.0396,-0.1614,-0.2543
CNN-ew4,0.8193,0.0276,0.8409,0.7647,-0.1967,0.0787,-0.0413,-0.2591
RNN-ew4,0.7978,0.0311,0.8589,0.7722,-0.1352,0.0907,-0.0617,-0.3136
GRU-ew4,0.8173,0.0225,0.8476,0.7839,-0.1904,0.0655,-0.0943,-0.2793
DNN-ew4,0.8436,0.1037,1.0394,0.7609,-0.2865,0.3334,-0.031,-0.9237
LSTM-ew4,0.8094,0.0172,0.833,0.7839,-0.1671,0.0495,-0.0943,-0.2356
CNN-or,0.8181,0.0312,0.8445,0.7567,-0.1934,0.0885,-0.0197,-0.2699
RNN-or,0.789,0.007,0.8009,0.7794,-0.1086,0.0196,-0.0818,-0.1422
GRU-or,0.8193,0.0183,0.853,0.7987,-0.1958,0.0541,-0.1358,-0.2956
DNN-or,0.8121,0.02,0.8395,0.7818,-0.175,0.0577,-0.0884,-0.2551
LSTM-or,0.8161,0.0049,0.8238,0.8087,-0.186,0.0143,-0.1645,-0.2086
