,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.01518,0.13254,0.13254,0.32983,0.56945
Exp2,0.01513,0.13003,0.13003,0.32939,0.56606
Exp3,0.01459,0.13031,0.13031,0.33269,0.57482
Exp4,0.01474,0.13123,0.13123,0.33288,0.57563
Exp5,0.01518,0.13286,0.13286,0.33243,0.57405
Exp6,0.01444,0.13099,0.13099,0.32889,0.56675
Exp7,0.01495,0.13285,0.13285,0.33269,0.57562
Exp8,0.01493,0.12929,0.12929,0.32825,0.56865
Exp9,0.01484,0.13021,0.13021,0.32883,0.56986
Exp10,0.01513,0.13074,0.13074,0.32857,0.56964
