,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.01491,0.00025,0.01476,0.01506,0.01444,0.01518
TestMSE,0.13111,0.00119,0.13037,0.13185,0.12929,0.13286
Step1,0.13111,0.00119,0.13037,0.13185,0.12929,0.13286
Step2,0.33044,0.00187,0.32929,0.3316,0.32825,0.33288
Step3,0.57105,0.00347,0.56891,0.5732,0.56606,0.57563
