,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7697,-0.0585,0.045,0.8291,0.7204,0.1244,0.0758,-0.2241
RNN-obs,0.6678,0.206,0.0034,0.6725,0.6647,0.0081,0.2132,0.1947
GRU-obs,0.7277,0.0417,0.0926,0.8586,0.6612,0.2507,0.2214,-0.3128
DNN-obs,0.7719,-0.0624,0.028,0.8105,0.7449,0.0778,0.012,-0.1697
LSTM-obs,0.7259,0.059,0.0388,0.7741,0.6792,0.1003,0.1785,-0.0669
CNN-sg5,0.809,-0.1696,0.0489,0.845,0.7399,0.1377,0.0251,-0.2714
RNN-sg5,0.6966,0.1349,0.0233,0.7265,0.6698,0.0579,0.2011,0.0601
GRU-sg5,0.7036,0.1178,0.0209,0.7285,0.6774,0.0522,0.1828,0.0551
DNN-sg5,0.7293,0.0527,0.0124,0.7456,0.7157,0.0322,0.0878,0.0101
LSTM-sg5,0.7324,0.0327,0.0826,0.8285,0.6269,0.2135,0.3003,-0.2223
CNN-sg7,0.8008,-0.1479,0.0572,0.8817,0.7595,0.1673,-0.0272,-0.3844
RNN-sg7,0.6937,0.1425,0.0185,0.7136,0.669,0.0455,0.203,0.0931
GRU-sg7,0.6814,0.1699,0.0433,0.7248,0.6222,0.1035,0.3106,0.0646
DNN-sg7,0.7676,-0.0505,0.0276,0.8046,0.7385,0.0758,0.0288,-0.1526
LSTM-sg7,0.7675,-0.0526,0.0448,0.8303,0.7284,0.1249,0.0552,-0.2277
CNN-sg9,0.7964,-0.1331,0.0458,0.8611,0.7636,0.1325,-0.0383,-0.3205
RNN-sg9,0.7313,0.0437,0.047,0.7711,0.6653,0.1198,0.2118,-0.0588
GRU-sg9,0.6923,0.1463,0.0061,0.6974,0.6838,0.0149,0.1673,0.1339
DNN-sg9,0.7839,-0.0943,0.0112,0.7983,0.7709,0.0314,-0.0582,-0.1347
LSTM-sg9,0.8726,-0.3563,0.0153,0.8942,0.8609,0.0478,-0.3198,-0.4238
CNN-ew2,0.82,-0.2004,0.0414,0.8504,0.7614,0.1189,-0.0323,-0.2878
RNN-ew2,0.6835,0.1663,0.0331,0.7195,0.6395,0.08,0.2718,0.0782
GRU-ew2,0.6811,0.1729,0.025,0.7134,0.6525,0.0609,0.2419,0.0937
DNN-ew2,0.7551,-0.0153,0.005,0.7601,0.7482,0.0135,0.0032,-0.0288
LSTM-ew2,0.7558,-0.0177,0.0168,0.778,0.7373,0.0455,0.032,-0.0779
CNN-ew3,0.7978,-0.1384,0.0541,0.8725,0.7464,0.1566,0.008,-0.3555
RNN-ew3,0.7284,0.0476,0.0662,0.817,0.6581,0.1747,0.2288,-0.1885
GRU-ew3,0.6931,0.144,0.018,0.7185,0.678,0.0449,0.1815,0.0808
DNN-ew3,0.7538,-0.0119,0.0122,0.7704,0.7417,0.0328,0.0205,-0.0569
LSTM-ew3,0.7622,-0.0358,0.0274,0.793,0.7264,0.0741,0.0604,-0.1198
CNN-ew4,0.8074,-0.1675,0.0617,0.8946,0.7624,0.1821,-0.035,-0.425
RNN-ew4,0.7303,0.0466,0.0458,0.7893,0.6778,0.1198,0.182,-0.1094
GRU-ew4,0.6844,0.1645,0.0274,0.7232,0.6636,0.0678,0.2159,0.0687
DNN-ew4,0.7824,-0.0907,0.0167,0.8054,0.766,0.0469,-0.0449,-0.1551
LSTM-ew4,0.7131,0.0923,0.0358,0.7499,0.6646,0.0899,0.2136,-0.0014
