,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.18191,1.20891,0.64242,0.68088,0.76497
Exp2,1.1261,1.34588,0.69756,0.70184,0.91227
Exp3,1.14689,1.35772,0.67311,0.83149,0.83603
Exp4,1.4743,1.44632,0.8635,0.7903,0.8495
Exp5,1.30395,1.34291,0.66438,0.73221,0.90877
