,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.24663,0.12945,1.13317,1.36009,1.1261,1.4743
TestRMSE,1.34035,0.07595,1.27377,1.40693,1.20891,1.44632
Step1,0.70819,0.07964,0.63839,0.778,0.64242,0.8635
Step2,0.74734,0.05593,0.69831,0.79637,0.68088,0.83149
Step3,0.85431,0.05416,0.80684,0.90178,0.76497,0.91227
