,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.8716,0.114,0.9856,0.7576,-0.376,0.3538,-0.0222,-0.7298
RNN-obs,0.9346,0.0664,1.001,0.8682,-0.5632,0.221,-0.3422,-0.7842
GRU-obs,0.8775,0.1085,0.986,0.769,-0.3922,0.339,-0.0532,-0.7312
DNN-obs,0.7748,0.0325,0.8073,0.7424,-0.0711,0.0896,0.0185,-0.1607
LSTM-obs,0.7365,0.0088,0.7453,0.7276,0.0341,0.0233,0.0574,0.0108
