,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.02347,0.14285,0.14285,0.3772,0.63416
Exp2,0.02272,0.14501,0.14501,0.38262,0.64352
Exp3,0.02375,0.14233,0.14233,0.38384,0.65028
Exp4,0.02336,0.14226,0.14226,0.38366,0.64339
Exp5,0.02286,0.14332,0.14332,0.38786,0.65029
Exp6,0.02337,0.14436,0.14436,0.38195,0.63875
Exp7,0.02373,0.14619,0.14619,0.38837,0.65121
Exp8,0.0231,0.14854,0.14854,0.39231,0.6565
Exp9,0.02371,0.14332,0.14332,0.38239,0.64542
Exp10,0.02236,0.14491,0.14491,0.38647,0.64566
