,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.02324,0.00045,0.02297,0.02352,0.02236,0.02375
TestMSE,0.14431,0.00186,0.14316,0.14546,0.14226,0.14854
Step1,0.14431,0.00186,0.14316,0.14546,0.14226,0.14854
Step2,0.38467,0.004,0.38219,0.38715,0.3772,0.39231
Step3,0.64592,0.00617,0.6421,0.64974,0.63416,0.6565
