,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-or,0.771,0.0261,0.8204,0.7455,-0.0596,0.0729,0.0104,-0.1985
RNN-or,0.6898,0.0106,0.7043,0.6741,0.1526,0.0259,0.1909,0.1168
GRU-or,0.6801,0.0128,0.6944,0.6572,0.1761,0.0307,0.2309,0.1414
DNN-or,0.753,0.0042,0.7579,0.7469,-0.0096,0.0111,0.0066,-0.0228
LSTM-or,0.7435,0.029,0.7818,0.7031,0.0141,0.0767,0.1198,-0.0884
