,0,1,2,3,4
CNN-or,0.3725,-0.1151,0.3673,0.3939,0.405
RNN-or,0.5742,0.5871,0.5789,0.5716,0.5843
GRU-or,0.5897,0.6031,0.5862,0.622,0.595
DNN-or,0.3774,0.3969,0.3978,0.4032,0.3875
LSTM-or,0.5924,0.5639,0.6034,0.5534,0.5732
