,0,1,2,3,4
CNN-or,-0.0444,-0.1985,-0.0521,-0.0135,0.0104
RNN-or,0.1415,0.1909,0.1419,0.1168,0.1718
GRU-or,0.166,0.1846,0.1414,0.2309,0.1576
DNN-or,-0.0228,-0.0064,-0.004,0.0066,-0.0214
LSTM-or,0.0751,-0.0494,0.1198,-0.0884,0.0133
