,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-or,0.6284,0.0817,0.7912,0.578,0.2847,0.2004,0.405,-0.1151
RNN-or,0.486,0.0034,0.4904,0.4815,0.5792,0.0059,0.5871,0.5716
GRU-or,0.4743,0.0076,0.482,0.4607,0.5992,0.0127,0.622,0.5862
DNN-or,0.584,0.0044,0.5912,0.5789,0.3926,0.0091,0.4032,0.3774
LSTM-or,0.4871,0.0106,0.5007,0.4719,0.5773,0.0183,0.6034,0.5534
