,0,1,2,3,4
CNN-or,0.5935,0.7912,0.596,0.5834,0.578
RNN-or,0.4889,0.4815,0.4862,0.4904,0.4831
GRU-or,0.48,0.4721,0.482,0.4607,0.4768
DNN-or,0.5912,0.5819,0.5814,0.5789,0.5864
LSTM-or,0.4784,0.4948,0.4719,0.5007,0.4895
