,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-or,0.4262,0.1666,0.759,0.3323,0.6268,0.3269,0.8032,-0.0267,0.0686,0.0232,0.115,0.0569,21.6196,17.4987,56.6167,12.7396
RNN-or,0.2358,0.0021,0.2387,0.2337,0.9008,0.0017,0.9026,0.8984,0.0428,0.0005,0.0437,0.0423,8.242,0.0954,8.4282,8.1747
GRU-or,0.226,0.0032,0.2295,0.2206,0.909,0.0026,0.9133,0.9061,0.0401,0.0006,0.0409,0.0392,7.3031,0.1483,7.5369,7.1196
DNN-or,0.3366,0.0043,0.3447,0.3327,0.7981,0.0053,0.8027,0.7882,0.0569,0.0006,0.0578,0.0562,12.984,0.2139,13.3551,12.7728
LSTM-or,0.225,0.0035,0.2298,0.2192,0.9098,0.0028,0.9144,0.9059,0.0395,0.0003,0.0401,0.0391,6.7499,0.2949,7.0792,6.2644
