,0,1,2,3,4
CNN-or,0.7658,0.8204,0.7687,0.7544,0.7455
RNN-or,0.6944,0.6741,0.6942,0.7043,0.682
GRU-or,0.6844,0.6767,0.6944,0.6572,0.6878
DNN-or,0.7579,0.7518,0.7509,0.7469,0.7574
LSTM-or,0.7207,0.7677,0.7031,0.7818,0.7444
