,0,1,2,3,4
CNN-or,0.3506,0.759,0.3546,0.3346,0.3323
RNN-or,0.238,0.2337,0.2345,0.2387,0.2343
GRU-or,0.229,0.2258,0.2295,0.2206,0.2249
DNN-or,0.3447,0.3341,0.334,0.3327,0.3373
LSTM-or,0.2242,0.2245,0.2192,0.2273,0.2298
