,0,1,2
CNN-sg7,-0.0298,-0.0826,-0.042
RNN-sg7,0.1791,0.1275,0.087
GRU-sg7,0.0631,0.1444,-0.0439
DNN-sg7,-0.1161,-0.0454,-0.066
LSTM-sg7,-0.2451,0.0728,-0.1054
