,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.6697,0.0919,0.7996,0.6039,0.1862,0.2299,0.3504,-0.1389
RNN-obs,0.534,0.0098,0.5478,0.5259,0.4919,0.0187,0.5074,0.4656
GRU-obs,0.517,0.0103,0.5295,0.5042,0.5238,0.019,0.5471,0.5006
DNN-obs,0.5923,0.0054,0.5972,0.5847,0.3751,0.0115,0.3911,0.3648
LSTM-obs,0.5293,0.0163,0.5423,0.5063,0.5005,0.0304,0.5433,0.4762
CNN-sg5,0.6796,0.0986,0.8152,0.5838,0.16,0.2481,0.393,-0.1837
RNN-sg5,0.517,0.0143,0.5364,0.5023,0.5237,0.0265,0.5506,0.4876
GRU-sg5,0.5223,0.0196,0.5499,0.5068,0.5134,0.0369,0.5425,0.4614
DNN-sg5,0.596,0.0021,0.5975,0.593,0.3673,0.0045,0.3737,0.3641
LSTM-sg5,0.5188,0.0235,0.548,0.4904,0.5197,0.0436,0.5717,0.465
CNN-sg7,0.6013,0.0177,0.6263,0.5878,0.3554,0.0383,0.3846,0.3013
RNN-sg7,0.4831,0.0102,0.492,0.4688,0.5841,0.0175,0.6086,0.5688
GRU-sg7,0.4862,0.0217,0.5143,0.4616,0.5781,0.0377,0.6205,0.5288
DNN-sg7,0.5986,0.0092,0.6108,0.5885,0.3615,0.0197,0.3831,0.3354
LSTM-sg7,0.4886,0.0245,0.506,0.4539,0.5738,0.0419,0.633,0.5439
CNN-sg9,0.7881,0.1386,0.8882,0.5921,-0.1405,0.3649,0.3755,-0.405
RNN-sg9,0.5191,0.0055,0.5264,0.5133,0.5201,0.0101,0.5307,0.5065
GRU-sg9,0.5133,0.0248,0.5483,0.4943,0.5296,0.046,0.5648,0.4646
DNN-sg9,0.5961,0.0017,0.5974,0.5936,0.3671,0.0037,0.3724,0.3643
LSTM-sg9,0.4965,0.0283,0.5364,0.4752,0.5595,0.051,0.5978,0.4875
CNN-ew2,0.741,0.1097,0.82,0.5859,0.0005,0.2745,0.3886,-0.1977
RNN-ew2,0.5136,0.0061,0.5184,0.5049,0.5301,0.0112,0.546,0.5213
GRU-ew2,0.501,0.0161,0.5226,0.4841,0.5525,0.0288,0.5825,0.5136
DNN-ew2,0.5917,0.0083,0.6034,0.5857,0.3763,0.0175,0.3889,0.3515
LSTM-ew2,0.495,0.0126,0.5112,0.4804,0.5633,0.0223,0.5889,0.5346
CNN-ew3,0.7579,0.1191,0.8421,0.5894,-0.0483,0.3037,0.3812,-0.263
RNN-ew3,0.5352,0.0437,0.5969,0.5027,0.4864,0.0856,0.5498,0.3654
GRU-ew3,0.5067,0.0214,0.5328,0.4805,0.5419,0.0386,0.5888,0.4943
DNN-ew3,0.6668,0.0985,0.8061,0.5962,0.1908,0.2462,0.3668,-0.1574
LSTM-ew3,0.5371,0.0452,0.5991,0.4927,0.4826,0.0884,0.5676,0.3608
CNN-ew4,0.779,0.1164,0.8641,0.6144,-0.105,0.306,0.3276,-0.3299
RNN-ew4,0.5204,0.0054,0.5268,0.5137,0.5177,0.0099,0.53,0.5058
GRU-ew4,0.5381,0.0248,0.5607,0.5036,0.4831,0.0469,0.5483,0.44
DNN-ew4,0.5963,0.0045,0.6027,0.5926,0.3666,0.0097,0.3746,0.3529
LSTM-ew4,0.584,0.0141,0.5942,0.5641,0.3921,0.0291,0.4333,0.3711
CNN-or,0.581,0.0007,0.5816,0.58,0.3987,0.0015,0.4009,0.3975
RNN-or,0.5013,0.0023,0.5045,0.4996,0.5524,0.0041,0.5555,0.5466
GRU-or,0.5067,0.0078,0.5159,0.4968,0.5426,0.0141,0.5603,0.5259
DNN-or,0.6467,0.0412,0.6961,0.5952,0.2522,0.0948,0.3691,0.137
LSTM-or,0.4949,0.0114,0.5106,0.4842,0.5635,0.0202,0.5824,0.5355
