,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7815,0.0346,0.8296,0.7497,-0.0898,0.0975,-0.0009,-0.2256
RNN-obs,0.7272,0.0223,0.7587,0.7091,0.0573,0.0585,0.1047,-0.0251
GRU-obs,0.7163,0.0198,0.7306,0.6883,0.0857,0.0501,0.1565,0.0495
DNN-obs,0.7565,0.0056,0.7621,0.7489,-0.0193,0.015,0.0012,-0.0343
LSTM-obs,0.7735,0.0244,0.8019,0.7424,-0.0666,0.067,0.0186,-0.1452
CNN-sg5,0.7936,0.0396,0.8466,0.7515,-0.1242,0.1129,-0.0058,-0.2761
RNN-sg5,0.7285,0.021,0.7562,0.7053,0.0541,0.0549,0.1143,-0.0184
GRU-sg5,0.7405,0.0221,0.7642,0.711,0.0228,0.058,0.0998,-0.04
DNN-sg5,0.7671,0.0026,0.7695,0.7635,-0.0477,0.0071,-0.0379,-0.0543
LSTM-sg5,0.8078,0.0546,0.8754,0.7416,-0.1673,0.1575,0.0207,-0.3647
CNN-sg7,0.7684,0.0082,0.7797,0.7605,-0.0515,0.0226,-0.0298,-0.0826
RNN-sg7,0.6983,0.0152,0.716,0.679,0.1312,0.0377,0.1791,0.087
GRU-sg7,0.7281,0.0297,0.7657,0.6932,0.0545,0.0771,0.1444,-0.0439
DNN-sg7,0.7772,0.0107,0.7917,0.7662,-0.0758,0.0297,-0.0454,-0.1161
LSTM-sg7,0.7819,0.047,0.8362,0.7216,-0.0926,0.1301,0.0728,-0.2451
CNN-sg9,0.8729,0.0686,0.9236,0.7759,-0.3653,0.2076,-0.0719,-0.5191
RNN-sg9,0.7469,0.0128,0.7587,0.7292,0.0063,0.0338,0.0532,-0.0251
GRU-sg9,0.7477,0.0346,0.7948,0.7126,0.0022,0.0932,0.0957,-0.1249
DNN-sg9,0.7793,0.0021,0.7817,0.7766,-0.0813,0.0058,-0.0739,-0.0881
LSTM-sg9,0.7665,0.0499,0.837,0.7311,-0.0506,0.1392,0.0483,-0.2475
CNN-ew2,0.8196,0.0433,0.8517,0.7584,-0.1995,0.1241,-0.0241,-0.2917
RNN-ew2,0.7182,0.0046,0.7231,0.7121,0.0815,0.0117,0.097,0.0688
GRU-ew2,0.7097,0.0265,0.7444,0.68,0.1018,0.0674,0.1767,0.0133
DNN-ew2,0.7558,0.0023,0.7587,0.753,-0.0173,0.0062,-0.0097,-0.0249
LSTM-ew2,0.7311,0.0247,0.7623,0.7019,0.0472,0.0645,0.1227,-0.0349
CNN-ew3,0.8395,0.0505,0.8753,0.7681,-0.2596,0.1477,-0.0507,-0.3641
RNN-ew3,0.764,0.0501,0.8329,0.7153,-0.0437,0.1387,0.0888,-0.2352
GRU-ew3,0.7123,0.0359,0.7521,0.6652,0.0942,0.0902,0.212,-0.0072
DNN-ew3,0.8191,0.0611,0.9055,0.7745,-0.2015,0.1829,-0.0682,-0.4601
LSTM-ew3,0.7916,0.0727,0.8917,0.7213,-0.1252,0.2101,0.0735,-0.4159
CNN-ew4,0.8557,0.0563,0.8985,0.7761,-0.3095,0.1678,-0.0725,-0.4374
RNN-ew4,0.7482,0.0148,0.7668,0.7305,0.0026,0.0396,0.0498,-0.0471
GRU-ew4,0.7491,0.0337,0.7869,0.705,-0.0013,0.0894,0.1149,-0.1027
DNN-ew4,0.773,0.0016,0.7751,0.7712,-0.0639,0.0044,-0.059,-0.0697
LSTM-ew4,0.8794,0.0301,0.9154,0.8417,-0.3788,0.0941,-0.2615,-0.492
CNN-or,0.7494,0.0015,0.7506,0.7473,0.0,0.0039,0.0055,-0.0031
RNN-or,0.6855,0.0021,0.687,0.6826,0.1631,0.0051,0.1703,0.1595
GRU-or,0.7006,0.0034,0.7046,0.6963,0.1259,0.0085,0.1366,0.1159
DNN-or,0.7836,0.0184,0.8058,0.7607,-0.0942,0.0514,-0.0305,-0.1563
LSTM-or,0.6801,0.0129,0.6943,0.6631,0.176,0.0311,0.217,0.1417
