,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.5054,0.1848,0.7664,0.365,0.484,0.3755,0.7625,-0.0469,0.0771,0.0276,0.1161,0.0568,28.2591,18.3082,54.1506,15.2133
RNN-obs,0.2815,0.0026,0.2849,0.2787,0.8587,0.0026,0.8616,0.8553,0.0476,0.0004,0.0479,0.0471,11.0558,0.2346,11.3778,10.8255
GRU-obs,0.2632,0.0083,0.2749,0.2572,0.8764,0.0078,0.8821,0.8653,0.046,0.0012,0.0477,0.045,10.0447,0.5903,10.7889,9.3451
DNN-obs,0.3509,0.0061,0.3569,0.3425,0.7805,0.0076,0.791,0.773,0.0568,0.002,0.0597,0.0553,14.538,0.7937,15.6586,13.9226
LSTM-obs,0.2543,0.0094,0.2658,0.2427,0.8845,0.0085,0.895,0.8741,0.0437,0.0008,0.0447,0.0428,9.2518,0.4449,9.8742,8.8612
CNN-sg5,0.5043,0.1968,0.7805,0.3367,0.4778,0.3997,0.798,-0.0857,0.0786,0.0282,0.1184,0.0569,28.0001,19.2312,55.1555,13.1204
RNN-sg5,0.2594,0.0114,0.2734,0.2454,0.8798,0.0105,0.8926,0.8668,0.0452,0.0012,0.0467,0.0438,7.5884,0.4401,8.0618,7.0018
GRU-sg5,0.2631,0.0216,0.2925,0.2413,0.8758,0.0207,0.8962,0.8475,0.0453,0.0025,0.0487,0.0426,7.3866,1.3324,9.0003,5.7372
DNN-sg5,0.3472,0.0019,0.3488,0.3445,0.7851,0.0024,0.7885,0.7831,0.0565,0.0003,0.057,0.0562,12.6827,0.1343,12.8442,12.5153
LSTM-sg5,0.2389,0.006,0.2467,0.2322,0.8982,0.0051,0.9039,0.8915,0.0418,0.0001,0.0419,0.0417,5.5134,0.1962,5.7868,5.3359
CNN-sg7,0.3509,0.0193,0.378,0.3348,0.7799,0.0246,0.8002,0.7453,0.0577,0.0009,0.059,0.0569,11.6895,0.967,13.057,11.0034
RNN-sg7,0.2484,0.0096,0.2619,0.2411,0.8899,0.0086,0.8964,0.8778,0.047,0.0016,0.0491,0.0451,5.7245,0.4491,6.2815,5.1818
GRU-sg7,0.235,0.015,0.2555,0.22,0.9011,0.0128,0.9138,0.8836,0.0436,0.0019,0.0462,0.042,4.5232,0.3615,5.0321,4.2262
DNN-sg7,0.347,0.0113,0.3622,0.335,0.7852,0.0141,0.8,0.7662,0.0574,0.0002,0.0576,0.0571,11.2038,0.1632,11.3702,10.9821
LSTM-sg7,0.2313,0.0119,0.2403,0.2144,0.9044,0.0096,0.918,0.8971,0.0435,0.0005,0.0441,0.0428,3.8304,0.1697,4.0686,3.6854
CNN-sg9,0.6761,0.2414,0.8487,0.3347,0.0815,0.5083,0.8003,-0.2839,0.1072,0.0352,0.1325,0.0573,42.3465,23.1746,58.8539,9.573
