,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
RNN-sg9,0.2832,0.0076,0.2933,0.275,0.8569,0.0077,0.8652,0.8466,0.0531,0.0018,0.0557,0.0516,5.4018,0.3007,5.8244,5.1498
GRU-sg9,0.2555,0.0122,0.2727,0.2461,0.8834,0.0113,0.892,0.8674,0.0464,0.0009,0.0476,0.0454,4.2247,0.2369,4.5518,3.9984
DNN-sg9,0.3396,0.0019,0.3418,0.3371,0.7944,0.0023,0.7975,0.7918,0.0573,0.0001,0.0574,0.0572,9.5899,0.1132,9.75,9.5075
LSTM-sg9,0.2566,0.0182,0.2801,0.2357,0.882,0.0168,0.901,0.8602,0.0506,0.0025,0.0527,0.0471,4.071,0.3166,4.4811,3.7103
CNN-ew2,0.6343,0.2111,0.7848,0.3358,0.2035,0.4211,0.7991,-0.0978,0.0983,0.0292,0.1192,0.057,40.7676,20.2733,55.1441,12.0968
RNN-ew2,0.2635,0.0058,0.2684,0.2554,0.8762,0.0053,0.8837,0.8716,0.0465,0.0007,0.047,0.0455,8.0311,0.1772,8.2814,7.896
GRU-ew2,0.252,0.0127,0.2619,0.2341,0.8865,0.0112,0.9023,0.8777,0.0449,0.0016,0.0465,0.0427,7.2979,0.6811,8.1287,6.4603
DNN-ew2,0.3454,0.0128,0.3635,0.3354,0.7871,0.016,0.7995,0.7645,0.0573,0.0005,0.0581,0.0569,12.6244,0.5761,13.4335,12.1368
LSTM-ew2,0.2373,0.0057,0.2448,0.231,0.8996,0.0048,0.9049,0.8932,0.0431,0.0007,0.044,0.0425,6.4236,0.1747,6.6502,6.2251
CNN-ew3,0.6485,0.2216,0.8052,0.3352,0.1628,0.4504,0.7997,-0.1557,0.1011,0.0311,0.1231,0.0571,41.4853,21.6213,56.9529,10.9088
RNN-ew3,0.2735,0.0321,0.3187,0.2469,0.8648,0.0325,0.8913,0.819,0.0473,0.0026,0.051,0.0449,6.5962,0.6454,7.4264,5.8526
GRU-ew3,0.2597,0.0134,0.2763,0.2434,0.8795,0.0125,0.8944,0.8639,0.0469,0.0014,0.0487,0.0452,6.4113,0.5077,6.9742,5.7438
DNN-ew3,0.4208,0.1078,0.5733,0.343,0.6637,0.1765,0.7903,0.4141,0.0655,0.0118,0.0822,0.0571,16.0756,7.5585,26.765,10.7286
LSTM-ew3,0.2656,0.0243,0.2992,0.2427,0.8732,0.0236,0.895,0.8404,0.0465,0.0015,0.0486,0.0451,6.268,0.2377,6.5722,5.9919
CNN-ew4,0.6758,0.2085,0.8259,0.3809,0.1086,0.4476,0.7415,-0.2157,0.1036,0.0329,0.1274,0.0571,41.649,21.7748,57.253,10.8556
RNN-ew4,0.2662,0.0099,0.2799,0.2567,0.8735,0.0095,0.8825,0.8604,0.048,0.0018,0.0505,0.0466,5.849,0.6273,6.7358,5.3849
GRU-ew4,0.2912,0.0225,0.3212,0.267,0.848,0.0237,0.8729,0.8162,0.0516,0.0031,0.056,0.0491,6.6361,0.8767,7.8274,5.7428
DNN-ew4,0.3435,0.0067,0.353,0.3385,0.7896,0.0083,0.7958,0.7779,0.0578,0.0004,0.0584,0.0574,10.065,0.138,10.2539,9.9283
LSTM-ew4,0.2868,0.0088,0.2992,0.2801,0.8532,0.0091,0.8602,0.8404,0.0481,0.0014,0.0498,0.0465,5.3611,0.2627,5.6427,5.0105
CNN-or,0.3342,0.0002,0.3344,0.3339,0.8009,0.0002,0.8012,0.8007,0.057,0.0,0.057,0.057,12.9791,0.0745,13.0844,12.9249
RNN-or,0.2569,0.0051,0.2638,0.2515,0.8823,0.0047,0.8872,0.876,0.0456,0.0006,0.0463,0.0448,9.3923,0.3133,9.8169,9.0703
GRU-or,0.2597,0.0131,0.2765,0.2445,0.8795,0.0122,0.8935,0.8637,0.046,0.0022,0.0489,0.0435,8.9633,0.8327,10.1158,8.1775
DNN-or,0.4097,0.046,0.4672,0.3547,0.697,0.0675,0.7758,0.6109,0.0622,0.0048,0.0684,0.0566,17.1356,3.4883,21.6404,13.1417
LSTM-or,0.2554,0.0094,0.2687,0.248,0.8836,0.0087,0.8904,0.8713,0.0464,0.0013,0.0482,0.045,9.3146,0.2896,9.655,8.9471
