,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25023,0.00441,0.2475,0.25296,0.24452,0.26236
TestRMSE,0.91064,0.0076,0.90593,0.91536,0.89608,0.92117
Step1,0.34536,0.00394,0.34291,0.3478,0.33863,0.35059
Step2,0.52191,0.00537,0.51859,0.52524,0.51386,0.52966
Step3,0.66151,0.0049,0.65847,0.66455,0.65133,0.66777
