,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
0,8.4018,0.7801,0.4249,8.9265,7.8858,0.0222,0.8068,0.7524
0,8.015,0.8004,0.1461,8.2004,7.8433,0.0073,0.8089,0.7911
0,7.4126,0.8289,0.3622,7.8875,7.009,0.0168,0.8474,0.8067
0,6.8598,0.8537,0.1834,7.0967,6.6498,0.0078,0.8626,0.8435
0,7.9173,0.8052,0.1124,8.0555,7.7801,0.0055,0.8119,0.7984
0,8.1397,0.7941,0.1346,8.3296,8.0337,0.0069,0.7995,0.7844
0,7.7736,0.8121,0.2397,8.0798,7.4946,0.0116,0.8255,0.7972
