,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.8196,0.0114,0.8337,0.7995,-0.1963,0.0331,-0.1381,-0.2376
RNN-obs,0.8129,0.0268,0.8557,0.7744,-0.178,0.078,-0.0678,-0.304
GRU-obs,0.8204,0.0178,0.8535,0.8027,-0.1991,0.0526,-0.1473,-0.2971
DNN-obs,0.8095,0.028,0.8481,0.7627,-0.1681,0.0802,-0.0359,-0.2807
LSTM-obs,0.8153,0.02,0.8373,0.7864,-0.1844,0.0577,-0.1013,-0.2485
