,0,1,2,3,4
CNN-obs,0.8194,0.819,0.8337,0.8262,0.7995
RNN-obs,0.7982,0.8153,0.8209,0.7744,0.8557
GRU-obs,0.8233,0.8027,0.8097,0.8535,0.813
DNN-obs,0.8025,0.8481,0.7627,0.8104,0.8236
LSTM-obs,0.7982,0.7864,0.8206,0.8341,0.8373
