,0,1,2,3,4
CNN-obs,-0.1956,-0.1945,-0.2376,-0.2156,-0.1381
RNN-obs,-0.1345,-0.1837,-0.2,-0.0678,-0.304
GRU-obs,-0.2069,-0.1473,-0.1675,-0.2971,-0.1768
DNN-obs,-0.1468,-0.2807,-0.0359,-0.1695,-0.2078
LSTM-obs,-0.1345,-0.1013,-0.1992,-0.2387,-0.2485
