,0,1,2,3,4
CNN-obs,0.7878,0.762,0.8033,0.7965,0.6806
RNN-obs,0.7138,0.729,0.7799,0.6871,0.8267
GRU-obs,0.7566,0.7399,0.7414,0.8171,0.752
DNN-obs,0.7709,0.854,0.6264,0.7036,0.7246
LSTM-obs,0.7164,0.705,0.7531,0.7754,0.7781
