,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.02307,0.61284,1.64323,2.40292,1.36341,3.62498
TestRMSE,1.93978,0.41387,1.68326,2.1963,1.52735,2.90226
Step1,1.00962,0.18605,0.89431,1.12494,0.64928,1.30882
Step2,1.21281,0.40151,0.96395,1.46167,0.72352,2.17258
Step3,1.09536,0.21947,0.95933,1.23139,0.85627,1.57361
