,0,1,2,3,4
CNN-or,0.7117,0.7661,0.7669,0.6193,0.6325
RNN-or,0.562,0.5268,0.6482,0.5632,0.567
GRU-or,0.5299,0.5998,0.7372,0.716,0.6628
DNN-or,0.5491,0.7283,0.6808,0.6162,0.7079
LSTM-or,0.6409,0.6369,0.6538,0.6492,0.6342
