,0,1,2,3,4
CNN-or,0.7942,0.7993,0.8001,0.7866,0.7408
RNN-or,0.7299,0.6988,0.7226,0.702,0.7146
GRU-or,0.7061,0.7334,0.8103,0.7814,0.7618
DNN-or,0.7511,0.7789,0.7993,0.7428,0.775
LSTM-or,0.7503,0.7463,0.758,0.7595,0.744
