,0,1,2,3,4
CNN-or,-0.2258,-0.2245,-0.2273,-0.2699,-0.0197
RNN-or,-0.1422,-0.112,-0.1004,-0.0818,-0.1068
GRU-or,-0.1358,-0.1643,-0.2956,-0.1953,-0.1878
DNN-or,-0.2196,-0.16,-0.2551,-0.0884,-0.1518
LSTM-or,-0.1832,-0.1823,-0.1916,-0.2086,-0.1645
