,0,1,2,3,4
CNN-or,0.8297,0.8292,0.8302,0.8445,0.7567
RNN-or,0.8009,0.7902,0.7861,0.7794,0.7884
GRU-or,0.7987,0.8086,0.853,0.8193,0.8167
DNN-or,0.8276,0.8071,0.8395,0.7818,0.8043
LSTM-or,0.8152,0.8148,0.818,0.8238,0.8087
