,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-or,0.8181,0.0312,0.8445,0.7567,-0.1934,0.0885,-0.0197,-0.2699
RNN-or,0.789,0.007,0.8009,0.7794,-0.1086,0.0196,-0.0818,-0.1422
GRU-or,0.8193,0.0183,0.853,0.7987,-0.1958,0.0541,-0.1358,-0.2956
DNN-or,0.8121,0.02,0.8395,0.7818,-0.175,0.0577,-0.0884,-0.2551
LSTM-or,0.8161,0.0049,0.8238,0.8087,-0.186,0.0143,-0.1645,-0.2086
