,0,1,2,3,4
CNN-or,49.88809149715956,54.94819452690302,54.855440170002076,36.26862999546157,57.063921597672326
RNN-or,31.49114391916715,28.9985299114785,42.816979559279616,32.41003911100194,33.100197870232044
GRU-or,29.06222961326943,36.966526026276924,54.750476015171195,49.402869998798266,42.54038771398475
DNN-or,29.09734119839139,55.104189820354655,44.28744995130857,43.24903921777638,50.320781827012006
LSTM-or,40.453055127340726,40.38971079137935,41.88162315669617,42.14351366183635,40.51959474141476
